firm_name,fiscal_year,source_file,folder_name,file_name
GlobalFoundries,2021,/Users/paulkoslowsky/Github/Jakop/Data/GlobalFoundries/GlobalFoundries_2021.pdf,GlobalFoundries,GlobalFoundries_2021.pdf
GlobalFoundries,2022,/Users/paulkoslowsky/Github/Jakop/Data/GlobalFoundries/GlobalFoundries_2022.pdf,GlobalFoundries,GlobalFoundries_2022.pdf
GlobalFoundries,2023,/Users/paulkoslowsky/Github/Jakop/Data/GlobalFoundries/GlobalFoundries_2023.pdf,GlobalFoundries,GlobalFoundries_2023.pdf
GlobalFoundries,2024,/Users/paulkoslowsky/Github/Jakop/Data/GlobalFoundries/GlobalFoundries_2024.pdf,GlobalFoundries,GlobalFoundries_2024.pdf
GlobalFoundries,2025,/Users/paulkoslowsky/Github/Jakop/Data/GlobalFoundries/GlobalFoundries_2025.pdf,GlobalFoundries,GlobalFoundries_2025.pdf
