firm_name,fiscal_year,source_file,folder_name,file_name
Qualcom,2021,/Users/paulkoslowsky/Github/Jakop/Data/Qualcom/Qualcom_2021.pdf,Qualcom,Qualcom_2021.pdf
Qualcom,2022,/Users/paulkoslowsky/Github/Jakop/Data/Qualcom/Qualcom_2022.pdf,Qualcom,Qualcom_2022.pdf
Qualcom,2023,/Users/paulkoslowsky/Github/Jakop/Data/Qualcom/Qualcom_2023.pdf,Qualcom,Qualcom_2023.pdf
Qualcom,2024,/Users/paulkoslowsky/Github/Jakop/Data/Qualcom/Qualcom_2024.pdf,Qualcom,Qualcom_2024.pdf
Qualcom,2025,/Users/paulkoslowsky/Github/Jakop/Data/Qualcom/Qualcom_2025.pdf,Qualcom,Qualcom_2025.pdf
